contract_multiplier,de_listed_date,exchange,listed_date,margin_rate,market_tplus,maturity_date,order_book_id,round_lot,symbol,trading_hours,type,underlying_order_book_id,underlying_symbol,order_book_id_symbol
10,2014-07-15,SHFE,2013-07-16,0.07,0,2014-07-15,WR1407,1,线材1407,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1407(WR1407)
50,2014-07-31,SHFE,2013-08-01,0.08,0,2014-07-31,FU1408,1,燃料油1408,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1408(FU1408)
5,2014-08-15,SHFE,2013-08-16,0.05,0,2014-08-15,AL1408,1,铝1408,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1408(AL1408)
5,2014-08-15,SHFE,2013-08-16,0.05,0,2014-08-15,CU1408,1,铜1408,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1408(CU1408)
5,2014-08-15,SHFE,2013-08-16,0.05,0,2014-08-15,ZN1408,1,锌1408,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1408(ZN1408)
5,2014-08-15,SHFE,2013-08-16,0.08,0,2014-08-15,PB1408,1,铅1408,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1408(PB1408)
10,2014-08-15,SHFE,2013-08-16,0.05,0,2014-08-15,RU1408,1,天然橡胶1408,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1408(RU1408)
1000,2014-08-15,SHFE,2013-08-16,0.04,0,2014-08-15,AU1408,1,黄金1408,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AU,黄金1408(AU1408)
15,2014-08-15,SHFE,2013-08-16,0.04,0,2014-08-15,AG1408,1,白银1408,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1408(AG1408)
10,2014-08-15,SHFE,2013-08-16,0.07,0,2014-08-15,WR1408,1,线材1408,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1408(WR1408)
10,2014-08-15,SHFE,2013-08-16,0.05,0,2014-08-15,RB1408,1,螺纹钢1408,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1408(RB1408)
50,2014-08-29,SHFE,2013-09-02,0.08,0,2014-08-29,FU1409,1,燃料油1409,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1409(FU1409)
5,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,AL1409,1,铝1409,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1409(AL1409)
5,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,ZN1409,1,锌1409,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1409(ZN1409)
5,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,CU1409,1,铜1409,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1409(CU1409)
5,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,PB1409,1,铅1409,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1409(PB1409)
10,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,RU1409,1,天然橡胶1409,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1409(RU1409)
15,2014-09-15,SHFE,2013-09-17,0.04,0,2014-09-15,AG1409,1,白银1409,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1409(AG1409)
10,2014-09-15,SHFE,2013-09-17,0.05,0,2014-09-15,RB1409,1,螺纹钢1409,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1409(RB1409)
10,2014-02-17,SHFE,2013-10-09,0.04,0,2014-02-17,BU1402,1,石油沥青1402,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1402(BU1402)
10,2014-09-15,SHFE,2013-09-17,0.07,0,2014-09-15,WR1409,1,线材1409,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1409(WR1409)
10,2014-03-17,SHFE,2013-10-09,0.04,0,2014-03-17,BU1403,1,石油沥青1403,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1403(BU1403)
10,2014-06-16,SHFE,2013-10-09,0.04,0,2014-06-16,BU1406,1,石油沥青1406,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1406(BU1406)
10,2014-12-15,SHFE,2013-10-09,0.04,0,2014-12-15,BU1412,1,石油沥青1412,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1412(BU1412)
10,2014-09-15,SHFE,2013-10-09,0.04,0,2014-09-15,BU1409,1,石油沥青1409,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1409(BU1409)
10,2015-03-16,SHFE,2013-10-09,0.04,0,2015-03-16,BU1503,1,石油沥青1503,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1503(BU1503)
10,2015-06-15,SHFE,2013-10-09,0.04,0,2015-06-15,BU1506,1,石油沥青1506,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1506(BU1506)
10,2015-09-15,SHFE,2013-10-09,0.04,0,2015-09-15,BU1509,1,石油沥青1509,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1509(BU1509)
50,2014-09-30,SHFE,2013-10-08,0.08,0,2014-09-30,FU1410,1,燃料油1410,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1410(FU1410)
