contract_multiplier,de_listed_date,exchange,listed_date,margin_rate,market_tplus,maturity_date,order_book_id,round_lot,symbol,trading_hours,type,underlying_order_book_id,underlying_symbol,order_book_id_symbol
5,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,CU1504,1,铜1504,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1504(CU1504)
5,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,PB1504,1,铅1504,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1504(PB1504)
5,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,ZN1504,1,锌1504,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1504(ZN1504)
10,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,RU1504,1,天然橡胶1504,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1504(RU1504)
1000,2015-04-15,SHFE,2014-04-16,0.04,0,2015-04-15,AU1504,1,黄金1504,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AU,黄金1504(AU1504)
15,2015-04-15,SHFE,2014-04-16,0.04,0,2015-04-15,AG1504,1,白银1504,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1504(AG1504)
10,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,RB1504,1,螺纹钢1504,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1504(RB1504)
10,2015-04-15,SHFE,2014-04-16,0.07,0,2015-04-15,WR1504,1,线材1504,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1504(WR1504)
10,2014-10-15,SHFE,2014-04-16,0.04,0,2014-10-15,BU1410,1,石油沥青1410,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1410(BU1410)
10,2015-04-15,SHFE,2014-04-16,0.04,0,2015-04-15,HC1504,1,热轧卷板1504,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1504(HC1504)
5,2015-05-15,SHFE,2014-05-16,0.05,0,2015-05-15,AL1505,1,铝1505,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1505(AL1505)
50,2015-04-30,SHFE,2014-05-05,0.08,0,2015-04-30,FU1505,1,燃料油1505,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1505(FU1505)
5,2015-05-15,SHFE,2014-05-16,0.05,0,2015-05-15,CU1505,1,铜1505,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1505(CU1505)
5,2015-05-15,SHFE,2014-05-16,0.05,0,2015-05-15,ZN1505,1,锌1505,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1505(ZN1505)
